question,GT_sql,predicted_sql,execution_match
Find the total cost of the project Theseus,SELECT T1.total_cost FROM projects AS T1 WHERE T1.title = 'Theseus',SELECT projects.total_cost FROM projects WHERE projects.title = Theseus,False
Show total cost of project with title Theseus,SELECT T1.total_cost FROM projects AS T1 WHERE T1.title = 'Theseus',SELECT projects.total_cost FROM projects WHERE projects.title = Theseus,False
Show me the acronyms of projects that started in 2018,SELECT acronym FROM projects WHERE start_year = 2018,"These are project titles related to various fields such as technology, biology, healthcare, and social sciences. Some examples include ""MicroPhan"" which seems to be related to micro-manufacturing or nanotechnology, ""TransparencyMeters"" related to data transparency, ""BioDermaCare"" might be about dermatological care products, and ""Re-MAPMATH"" could be a mathematical modeling tool. However, without more context, its hard to accurately describe what each project does.",False
Get acronyms of projects beginning in 2018,SELECT acronym FROM projects WHERE start_year = 2018,"These are project titles from various research fields, mostly in the areas of science and technology. Here is a brief overview of some of them:

1. ""STREAM"": This project might focus on data analysis or machine learning, given the context.
2. ""STARGATE"": Could be related to space exploration or advanced computing.
3. ""SOLWARIS"": Possibly solar energy research.
4. ""DYNACQM"": Likely involves quality management in dynamics systems or dynamic systems modeling.
5. ""COLING"": This could be a conference or workshop in the field of computational linguistics and natural language processing.
6. ""ATTO DNA"": Deals with extremely small units of DNA, possibly sequencing or analysis at an atomic level.
7. ""BRASILIAE"": May relate to research on the city of Brasilia or urban planning in general.
8. ""ARTISTIC"": Likely involves art and technology.
9. ""C-POS"": Could be a point-of-sale system or a project focusing on computer vision.
10. ""MicroAdiPSChip"": Most likely microelectronics research, focusing on adaptive systems on a chip.
11. ""Schizo-EPICOG"": Deals with schizophrenia and epigenetics, possibly investigating the genetic basis of the disease.
12. ""ADAM5"": Might focus on protein ADAM5 and its role in various biological processes.
13. ""MATHROCKS"": Likely a project or conference centered around teaching mathematics using music and rhythm.
14. ""RRING"": May be related to ring-shaped structures, such as carbon nanotubes or DNA rings, in materials science or biology.
15. ""VIDA"": Could be video production or analysis software, a video-based research project, or a conference in this field.",False
Show me the titles of projects that started before 2016,SELECT title FROM projects WHERE start_year < 2016,"These are a list of titles for various research projects, ranging from fields such as physics, chemistry, biology, computer science, mathematics, and social sciences. Some examples include ""Uncovering the Mechanisms of Epigenetic Reprogramming of Pluripotent and Somatic Cell States,"" ""Neural and computational determinants of left cerebral dominance in speech and language,"" and ""Cold Carbon Catabolism of Microbial Communities underpinning a Sustainable Bioenergy and Biorefinery Economy."" The diversity of topics reflects the interdisciplinary nature of modern research.",False
Find titles of projects which started earlier than 2016,SELECT title FROM projects WHERE start_year < 2016,"These are a list of research topics that range from biology, physics, mathematics, computer science, and engineering. Here are some examples:

1. **Regulation of gene expression and cell fate by DNA (hydroxy)methylation**: This study focuses on how the chemical modification of DNA can influence the behavior of cells.

2. **Neuromodulation of Oxygen Chemosensory Circuits in Caenorhabditis elegans**: Researchers are exploring the neural mechanisms that enable tiny organisms to sense oxygen levels.

3. **Breaking the code of RNA sequence-structure-function relationships: New strategies and tools for modelling and engineering of RNA and RNA-protein complexes**: This research aims to understand how the structure of RNA determines its function, and how to manipulate these structures for practical applications.

4. **Relevance of double strand break repair pathway choice in human disease and cancer**: Understanding the mechanisms behind DNA repair could lead to new strategies for cancer treatment.

5. **Identification and characterization of primate structural variation and an assessment of intra-specific patterns of selection and copy-number variation**: This study investigates genetic variations among primates, which could provide insights into human evolution.

6. **Quantum Design in Carbon Nanotubes**: Researchers are exploring the unique electronic properties of carbon nanotubes that could be exploited for quantum technologies.

7. **A Novel Detection Scheme to Enable Point of Care Flow Cytometry**: This research aims to develop portable technology for analyzing cells, which could have significant implications for healthcare.

8. **Finite element simulations of mechanobiology in tissue engineering**: This study uses computational models to understand how mechanical forces influence the behavior of cells in engineered tissues.

9. **Polar Molecules: From Ultracold Chemistry to Novel Quantum Phases**: Researchers are studying the unusual properties exhibited by polar molecules at extremely low temperatures, which could lead to new quantum states and technologies.

10. **Thermodynamics of the Climate System**: This study investigates how the laws of thermodynamics apply to Earths climate system, with implications for understanding and predicting climate change.

Each of these research topics is addressing fundamental questions in their respective fields, with potential applications that could have significant societal impact.",False
Find institutions from the region of Nordjylland,SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland',SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = Nordjylland,False
Show the name of institutions based in Nordjylland,SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland',`SELECT institutions.institutions_name FROM institutions JOIN eu_territorial_units ON institutions.geocode_regions_3 = eu_territorial_units.geocode_regions WHERE eu_territorial_units.description = Nordjylland`,False
Find the name of principal investigators in projects that started in 2014,SELECT T2.full_name FROM projects AS T1 join people as T2 on T1.principal_investigator = T2.unics_id WHERE T1.start_year = 2014,"It seems like you have provided a list of names. However, I dont see any specific question or task associated with this list. If you need assistance with something related to these names (e.g., finding commonalities, sorting them, etc.), please provide more context so I can help better!",False
Show the full name of people being investigators in projects that began in 2014,SELECT T2.full_name FROM projects AS T1 join people as T2 on T1.principal_investigator = T2.unics_id WHERE T1.start_year = 2014,"This list appears to be a collection of names. Its not clear what context or purpose these names serve in, as no question or specific request was provided for them to answer. If you have a specific question related to these names (e.g., ""Who is the first name on this list?""), please let me know, and Id be happy to help!",False
Find projects whose subject area is “Mathematics and Statistics”,SELECT t1.title FROM projects AS T1 join project_subject_areas as psa on T1.unics_id = psa.project join subject_areas as sa on psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics',`SELECT T1.acronym FROM projects AS T1 JOIN project_subject_areas AS T2 ON T1.unics_id = T2.project WHERE T2.subject_area = Mathematics and Statistics;`,False
Show the acronym and subject area description of projects with subject area “Mathematics and Statistics”,"SELECT t1.acronym, sa.description FROM projects AS T1 join project_subject_areas as psa on T1.unics_id = psa.project join subject_areas as sa on psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics'",[LLM ERROR],False
Find all different topics of projects that ended in 2014,SELECT distinct t.title FROM projects AS T1 join project_topics as pt on T1.unics_id = pt.project join topics as t on pt.topic = t.code where t1.end_year = 2014,"The list provided seems to contain various project acronyms related to different areas such as Science, Technology, Energy, Health, Social Sciences, and others which are likely associated with grants or research programs from institutions like the European Unions Framework Programme for Research and Innovation (FP7) or Horizon 2020.

Here is a brief summary of some of the project acronyms:

1. FP7-ICT - European Commissions Seventh Framework Programme Information and Communication Technologies (ICT) program.
2. H2020-SEC - Horizon 2020 Secure Societies - Protecting Freedom and Security of Europe and its Citizens
3. ERA-NET - Joint Transnational Calls under the European Research Area Network
4. SST (Space, Security and Transport) - European Commissions DG GROW Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs
5. AAT - Advanced Applications and Technologies sub-programme of FP7 or H2020, focusing on applied research in Information and Communication Technologies (ICT)
6. ENERGY - European Unions Horizon 2020 programme for energy research and innovation
7. HEALTH - European Commissions Health program under Horizon 2020
8. SSH - Social Sciences and Humanities program under Horizon 2020
9. DRIVE - Drive for Research, Innovation, Creativity, and Excellence, an EU-funded research program focusing on sustainable mobility and intelligent transport systems (ITS)
10. ERC - European Research Council, which supports advanced research in any field of science and scholarship, to explore new and creative ideas, or consolidate pioneering work in a given area.

These projects are funded by the EU and other institutions to advance research and innovation in various areas with the aim of fostering technological development, improving societal challenges, and driving economic growth.",False
Find distinct titles of topics of projects that with end year 2014,SELECT distinct t.title FROM projects AS T1 join project_topics as pt on T1.unics_id = pt.project join topics as t on pt.topic = t.code where t1.end_year = 2014,[LLM ERROR],False
