question,GT_sql,predicted_sql,execution_match
Find the total cost of the project Theseus,SELECT T1.total_cost FROM projects AS T1 WHERE T1.title = 'Theseus', SELECT total_cost FROM projects WHERE title = 'Theseus',True
Show total cost of project with title Theseus,SELECT T1.total_cost FROM projects AS T1 WHERE T1.title = 'Theseus', SELECT total_cost FROM projects WHERE title = 'Theseus',True
Show me the acronyms of projects that started in 2018,SELECT acronym FROM projects WHERE start_year = 2018, SELECT acronym FROM projects WHERE start_year = 2018,True
Get acronyms of projects beginning in 2018,SELECT acronym FROM projects WHERE start_year = 2018, SELECT acronym FROM projects WHERE start_year = 2018,True
Show me the titles of projects that started before 2016,SELECT title FROM projects WHERE start_year < 2016, SELECT title FROM projects WHERE start_year < 2016,True
Find titles of projects which started earlier than 2016,SELECT title FROM projects WHERE start_year < 2016, SELECT title FROM projects WHERE start_year < 2016,True
Find institutions from the region of Nordjylland,SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland', SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland',True
Show the name of institutions based in Nordjylland,SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland', SELECT institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland',True
Find the name of principal investigators in projects that started in 2014,SELECT T2.full_name FROM projects AS T1 join people as T2 on T1.principal_investigator = T2.unics_id WHERE T1.start_year = 2014, SELECT T2.full_name FROM projects AS T1 JOIN people as T2 on T1.principal_investigator = T2.unics_id WHERE T1.start_year = 2014,True
Show the full name of people being investigators in projects that began in 2014,SELECT T2.full_name FROM projects AS T1 join people as T2 on T1.principal_investigator = T2.unics_id WHERE T1.start_year = 2014, SELECT T2.full_name FROM projects AS T1 join people as T2 on T1.principal_investigator = T2.unics_id WHERE T1.start_year = 2014,True
Find projects whose subject area is “Mathematics and Statistics”,SELECT t1.title FROM projects AS T1 join project_subject_areas as psa on T1.unics_id = psa.project join subject_areas as sa on psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics', SELECT projects.unics_id FROM projects JOIN project_subject_areas ON projects.unics_id = project_subject_areas.project WHERE subject_areas.code = 'Mathematics and Statistics',False
Show the acronym and subject area description of projects with subject area “Mathematics and Statistics”,"SELECT t1.acronym, sa.description FROM projects AS T1 join project_subject_areas as psa on T1.unics_id = psa.project join subject_areas as sa on psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics'"," SELECT projects.acronym, subject_areas.description FROM projects JOIN project_subject_areas ON projects.unics_id = project_subject_areas.project JOIN subject_areas ON project_subject_areas.subject_area = subject_areas.code WHERE subject_areas.title = 'Mathematics and Statistics'",True
Find all different topics of projects that ended in 2014,SELECT distinct t.title FROM projects AS T1 join project_topics as pt on T1.unics_id = pt.project join topics as t on pt.topic = t.code where t1.end_year = 2014, SELECT DISTINCT topic FROM projects JOIN project_topics ON projects.unics_id = project_topics.project WHERE projects.end_year = 2014,False
Find distinct titles of topics of projects that with end year 2014,SELECT distinct t.title FROM projects AS T1 join project_topics as pt on T1.unics_id = pt.project join topics as t on pt.topic = t.code where t1.end_year = 2014, SELECT DISTINCT projects.title FROM projects WHERE EXTRACT(YEAR FROM projects.end_date) = 2014;,False
Show the acronym of projects with a member from Greece,Select p.acronym from projects as p join project_members as pm on p.unics_id = pm.project join institutions as i on pm.institution_id = i.unics_id join countries as c on i.country_id = c.unics_id where c.country_name = 'Greece', SELECT DISTINCT institutions.acronym FROM projects AS T1 JOIN people AS T2 ON T1.principal_investigator = T2.unics_id JOIN institutions AS T3 ON T2.institution_id = T3.unics_id WHERE T3.country_code3 = 'GRC',False
Show names of institutions from France or Germany,Select i.institutions_name from institutions as i join countries as c on i.country_id = c.unics_id where c.country_name = 'France' or c.country_name = 'Germany'," SELECT institutions.institutions_name FROM institutions WHERE institutions.country_code3 IN ('FRA', 'DEU')",False
Show names of institutions which are not from France,Select i.institutions_name from institutions as i join countries as c on i.country_id = c.unics_id where c.country_name != 'France', SELECT DISTINCT institutions_name FROM institutions WHERE country_code3 <> 'FRA',False
Count the projects that started in 2016,Select count(p.unics_id) from projects as p where start_year = 2016, SELECT COUNT(*) FROM projects WHERE start_year = 2016,True
